City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Divnoye,RU,45.9089,43.3547,33.51,89,4,9.35,clear sky
170,Zaysan,KZ,47.4667,84.8667,3.49,83,100,3.44,light snow
171,Camopi,GF,3.1655,-52.3158,79.7,89,44,3.6,scattered clouds
172,Sao Filipe,CV,14.8961,-24.4956,76.51,60,100,5.73,overcast clouds
173,Padang,ID,-0.9492,100.3543,78.8,89,90,3.44,overcast clouds
174,Castro,BR,-24.7911,-50.0119,73.51,80,95,4.5,overcast clouds
175,Goure,NE,13.9835,10.2704,82.0,11,52,5.01,broken clouds
176,Ancud,CL,-41.8697,-73.8203,68.0,77,75,11.5,broken clouds
177,Aktau,KZ,43.65,51.2,37.4,81,20,11.18,few clouds
178,Nouadhibou,MR,20.931,-17.0347,82.4,20,0,10.36,clear sky
179,Oxapampa,PE,-10.5775,-75.4017,66.0,77,100,1.54,light rain
180,San Quintin,MX,30.4833,-115.95,56.03,74,91,2.86,overcast clouds
181,Mehamn,NO,71.0357,27.8492,20.23,92,100,30.0,overcast clouds
182,Porbandar,IN,21.6422,69.6093,69.66,77,0,10.83,clear sky
183,Honningsvag,NO,70.9821,25.9704,22.32,91,100,36.01,overcast clouds
184,Biak,ID,-0.9131,122.8766,78.19,80,100,4.63,overcast clouds
185,Hithadhoo,MV,-0.6,73.0833,82.99,69,71,6.26,broken clouds
186,Provost,CA,52.3501,-110.2683,-4.0,84,4,8.05,clear sky
187,Bambous Virieux,MU,-20.3428,57.7575,82.4,69,40,5.75,scattered clouds
188,High Prairie,CA,55.4334,-116.4858,3.2,85,100,6.91,overcast clouds
189,Hare Bay,CA,48.8499,-54.0148,23.0,93,45,8.05,scattered clouds
190,Tutin,RS,42.9903,20.3314,38.16,91,100,5.86,overcast clouds
191,Seoul,KR,37.5683,126.9778,44.6,57,0,9.22,clear sky
192,Kangaatsiaq,GL,68.3065,-53.4641,12.92,83,0,5.12,clear sky
193,Hongjiang,CN,27.11,109.9956,50.72,80,0,2.77,clear sky
194,Raudeberg,NO,61.9875,5.1352,37.0,93,100,25.99,moderate rain
195,Saskylakh,RU,71.9167,114.0833,-32.3,81,90,4.88,overcast clouds
196,Ambagarh Chauki,IN,20.7833,80.7167,66.92,38,0,3.22,clear sky
197,Merritt,CA,50.1123,-120.7942,15.8,92,1,0.89,clear sky
198,Sola,VU,-13.8833,167.55,82.06,80,100,13.53,overcast clouds
199,Elias Fausto,BR,-23.0428,-47.3739,84.2,51,20,10.36,few clouds
200,Aklavik,CA,68.2191,-135.0107,-2.2,84,75,8.05,light snow
201,Surt,LY,31.2089,16.5887,67.91,37,74,10.78,broken clouds
202,Olafsvik,IS,64.8945,-23.7142,29.14,90,20,34.05,few clouds
203,Allen,US,41.0706,-85.0144,19.0,67,20,2.66,few clouds
204,Bethel,US,41.3712,-73.414,26.6,46,75,10.36,broken clouds
205,Kieta,PG,-6.2167,155.6333,78.3,71,81,2.73,broken clouds
206,Nioro,GM,13.35,-15.75,98.4,8,99,9.35,overcast clouds
207,San Patricio,US,28.017,-97.5169,66.2,100,90,10.36,mist
208,Flinders,AU,-34.5833,150.8552,73.4,88,90,4.61,overcast clouds
209,Faya,SA,18.3851,42.4509,66.2,52,20,8.05,few clouds
210,Pionerskiy,RU,54.9508,20.2275,37.4,93,90,11.18,light rain
211,Longyearbyen,SJ,78.2186,15.6401,6.8,78,0,16.11,clear sky
212,Puerto Carreno,CO,6.189,-67.4859,88.65,50,81,11.74,broken clouds
213,Senanga,ZM,-16.1167,23.2667,75.96,82,100,5.39,moderate rain
214,Guerrero Negro,MX,27.9769,-114.0611,57.63,79,76,3.4,broken clouds
215,Bouafle,CI,6.9904,-5.7442,93.2,40,20,4.61,haze
216,Aswan,EG,24.0934,32.907,73.71,21,0,10.36,clear sky
217,Laguna De Perlas,NI,12.3429,-83.6712,75.2,94,75,4.61,light intensity drizzle
218,Acarau,BR,-2.8856,-40.12,88.34,55,43,13.53,scattered clouds
219,Tessalit,ML,20.1986,1.0114,84.13,11,0,9.91,clear sky
